,index,xmin,ymin,xmax,ymax,confidence,class,name,frame
0,0,1,544,363,892,0.925809383392334,5,bus,0000000451.tiff
1,1,1388,552,1554,661,0.9226239323616028,2,car,0000000451.tiff
2,2,560,380,690,515,0.8866017460823059,5,bus,0000000451.tiff
3,3,1240,386,1322,438,0.8347918391227722,2,car,0000000451.tiff
4,4,791,331,837,367,0.8230636715888977,2,car,0000000451.tiff
5,5,1693,319,1786,359,0.7076881527900696,2,car,0000000451.tiff
6,6,448,335,516,392,0.6957449316978455,2,car,0000000451.tiff
7,7,757,311,791,338,0.6923723220825195,2,car,0000000451.tiff
8,9,0,519,137,647,0.48975828289985657,5,bus,0000000451.tiff
9,10,764,266,803,308,0.4683316946029663,2,car,0000000451.tiff
10,11,116,359,193,398,0.443344384431839,2,car,0000000451.tiff
11,13,1494,326,1540,362,0.40698352456092834,2,car,0000000451.tiff
12,14,50,380,132,415,0.3860085606575012,2,car,0000000451.tiff
13,18,551,364,602,419,0.3342173993587494,2,car,0000000451.tiff
14,21,971,250,993,266,0.27323153614997864,2,car,0000000451.tiff
15,0,0,556,346,920,0.9256229400634766,5,bus,0000000452.tiff
16,1,1367,540,1521,637,0.9193900227546692,2,car,0000000452.tiff
17,2,576,384,693,522,0.8815030455589294,5,bus,0000000452.tiff
18,3,1231,383,1312,433,0.8755660653114319,2,car,0000000452.tiff
19,4,790,333,836,369,0.800100564956665,2,car,0000000452.tiff
20,5,550,365,605,421,0.7348951101303101,2,car,0000000452.tiff
21,6,449,335,518,392,0.7317774891853333,2,car,0000000452.tiff
22,7,1694,320,1786,359,0.6751134395599365,2,car,0000000452.tiff
23,8,755,312,789,339,0.6273185610771179,2,car,0000000452.tiff
24,10,0,520,133,645,0.5963941216468811,5,bus,0000000452.tiff
25,11,764,267,803,310,0.5189196467399597,2,car,0000000452.tiff
26,12,117,359,196,397,0.41151878237724304,2,car,0000000452.tiff
27,15,1493,326,1540,363,0.39766132831573486,2,car,0000000452.tiff
28,17,51,380,131,415,0.3827778100967407,2,car,0000000452.tiff
29,0,0,564,327,950,0.9287906289100647,5,bus,0000000453.tiff
30,1,1347,525,1489,615,0.9112797975540161,2,car,0000000453.tiff
31,2,580,387,697,527,0.8823753595352173,5,bus,0000000453.tiff
32,3,1226,378,1301,428,0.8613805770874023,2,car,0000000453.tiff
33,4,787,335,834,372,0.7984347939491272,2,car,0000000453.tiff
34,5,548,368,606,421,0.7786588668823242,2,car,0000000453.tiff
35,6,448,336,519,393,0.7117519974708557,2,car,0000000453.tiff
36,7,749,314,787,341,0.7021500468254089,2,car,0000000453.tiff
37,8,1694,320,1786,359,0.6279966831207275,2,car,0000000453.tiff
38,10,1,518,126,645,0.6142757534980774,5,bus,0000000453.tiff
39,11,760,269,800,312,0.5169957280158997,2,car,0000000453.tiff
40,13,118,359,193,395,0.40063586831092834,2,car,0000000453.tiff
41,14,51,380,130,415,0.39349013566970825,2,car,0000000453.tiff
42,16,1491,325,1541,364,0.36620986461639404,2,car,0000000453.tiff
43,0,0,582,306,984,0.927657961845398,5,bus,0000000454.tiff
44,1,1324,510,1462,596,0.9130124449729919,2,car,0000000454.tiff
45,2,579,390,699,532,0.8941645622253418,5,bus,0000000454.tiff
46,3,1218,374,1294,423,0.8724098205566406,2,car,0000000454.tiff
47,4,546,368,601,422,0.7987946271896362,2,car,0000000454.tiff
48,5,786,339,833,374,0.7928269505500793,2,car,0000000454.tiff
49,6,744,312,785,342,0.6924868822097778,2,car,0000000454.tiff
50,7,1,522,120,643,0.6872231960296631,5,bus,0000000454.tiff
51,8,450,335,522,392,0.6828268766403198,2,car,0000000454.tiff
52,9,1695,320,1787,359,0.6524540781974792,2,car,0000000454.tiff
53,12,760,269,800,312,0.49964606761932373,2,car,0000000454.tiff
54,16,1491,326,1540,363,0.3987581729888916,2,car,0000000454.tiff
55,17,52,380,130,416,0.37364450097084045,2,car,0000000454.tiff
56,18,118,360,192,395,0.3651033043861389,2,car,0000000454.tiff
57,0,2,595,281,1015,0.9242137670516968,5,bus,0000000455.tiff
58,1,1309,498,1437,582,0.8980634808540344,2,car,0000000455.tiff
59,2,578,393,702,539,0.8871192932128906,5,bus,0000000455.tiff
60,3,1210,370,1284,418,0.8544285297393799,2,car,0000000455.tiff
61,4,545,369,602,423,0.8278300762176514,2,car,0000000455.tiff
62,5,784,341,832,378,0.7957313656806946,2,car,0000000455.tiff
63,6,742,313,783,343,0.7393725514411926,2,car,0000000455.tiff
64,7,451,336,524,392,0.663548469543457,2,car,0000000455.tiff
65,8,1695,319,1786,359,0.660218358039856,2,car,0000000455.tiff
66,10,1,527,112,642,0.5916538834571838,5,bus,0000000455.tiff
67,12,1490,326,1540,363,0.43792420625686646,2,car,0000000455.tiff
68,13,117,360,192,398,0.41081762313842773,2,car,0000000455.tiff
69,15,52,380,130,415,0.36571165919303894,2,car,0000000455.tiff
70,16,761,269,799,311,0.36442500352859497,7,truck,0000000455.tiff
71,19,761,268,799,311,0.3303363025188446,2,car,0000000455.tiff
72,0,0,612,257,1056,0.913788378238678,5,bus,0000000456.tiff
73,1,1290,486,1412,567,0.8900095224380493,2,car,0000000456.tiff
74,2,579,396,705,545,0.8865822553634644,5,bus,0000000456.tiff
75,3,543,372,601,424,0.8264044523239136,2,car,0000000456.tiff
76,4,1208,365,1275,411,0.8220435976982117,2,car,0000000456.tiff
77,5,783,344,828,381,0.7918313145637512,2,car,0000000456.tiff
78,6,741,315,780,345,0.7664485573768616,2,car,0000000456.tiff
79,7,450,336,527,390,0.6753755807876587,2,car,0000000456.tiff
80,9,1695,319,1786,359,0.635407030582428,2,car,0000000456.tiff
81,10,0,532,107,639,0.5161997675895691,5,bus,0000000456.tiff
82,14,1492,326,1540,363,0.42677393555641174,2,car,0000000456.tiff
83,16,117,359,195,397,0.3838534653186798,2,car,0000000456.tiff
84,17,50,380,131,415,0.3505915105342865,2,car,0000000456.tiff
85,18,761,269,798,312,0.3477238118648529,7,truck,0000000456.tiff
86,20,761,269,799,312,0.3151448965072632,2,car,0000000456.tiff
87,0,579,399,708,553,0.8868016600608826,5,bus,0000000457.tiff
88,1,1278,476,1390,554,0.8735249042510986,2,car,0000000457.tiff
89,2,541,373,600,424,0.8402689695358276,2,car,0000000457.tiff
90,3,1197,363,1267,408,0.8241427540779114,2,car,0000000457.tiff
91,4,779,345,828,383,0.8023994565010071,2,car,0000000457.tiff
92,5,1,624,227,1050,0.7718623280525208,5,bus,0000000457.tiff
93,6,739,316,776,346,0.7502739429473877,2,car,0000000457.tiff
94,8,451,337,531,389,0.6607879400253296,2,car,0000000457.tiff
95,9,1696,320,1786,359,0.6337191462516785,2,car,0000000457.tiff
96,13,1493,326,1540,363,0.40967875719070435,2,car,0000000457.tiff
97,15,117,359,195,398,0.3493325114250183,2,car,0000000457.tiff
98,16,761,269,798,313,0.3474610447883606,7,truck,0000000457.tiff
99,17,759,270,799,314,0.32970771193504333,2,car,0000000457.tiff
100,19,50,380,132,415,0.29474499821662903,2,car,0000000457.tiff
101,0,1261,466,1370,540,0.9032512307167053,2,car,0000000458.tiff
102,1,578,402,710,560,0.886613130569458,5,bus,0000000458.tiff
103,2,539,373,601,425,0.8327910304069519,2,car,0000000458.tiff
104,3,774,347,826,386,0.8317694067955017,2,car,0000000458.tiff
105,4,1190,361,1259,404,0.8211888074874878,2,car,0000000458.tiff
106,5,736,315,774,348,0.7486624717712402,2,car,0000000458.tiff
107,6,1,636,193,1040,0.737841010093689,5,bus,0000000458.tiff
