,index,xmin,ymin,xmax,ymax,confidence,class,name,frame
0,0,0,545,363,887,0.926659882068634,5,bus,0000000451.tiff
1,1,1387,551,1554,659,0.8978232741355896,2,car,0000000451.tiff
2,2,558,380,691,519,0.871339738368988,5,bus,0000000451.tiff
3,3,1239,385,1323,439,0.8553230166435242,2,car,0000000451.tiff
4,4,795,334,836,366,0.8158601522445679,2,car,0000000451.tiff
5,5,1689,320,1784,357,0.8079962730407715,2,car,0000000451.tiff
6,6,0,519,140,648,0.7686715126037598,5,bus,0000000451.tiff
7,7,446,339,517,389,0.7447721362113953,2,car,0000000451.tiff
8,8,758,311,790,337,0.6077855229377747,2,car,0000000451.tiff
9,10,112,359,190,403,0.5278463363647461,2,car,0000000451.tiff
10,11,51,378,129,418,0.4086310863494873,2,car,0000000451.tiff
11,12,765,268,801,305,0.3884481191635132,7,truck,0000000451.tiff
12,13,0,392,32,437,0.37400850653648376,2,car,0000000451.tiff
13,14,970,250,993,266,0.33550041913986206,2,car,0000000451.tiff
14,17,1435,318,1487,349,0.2820306122303009,2,car,0000000451.tiff
15,0,0,554,348,919,0.9351591467857361,5,bus,0000000452.tiff
16,1,1365,538,1520,638,0.9013610482215881,2,car,0000000452.tiff
17,2,567,385,694,523,0.8619871139526367,5,bus,0000000452.tiff
18,3,1233,382,1312,433,0.8604556918144226,2,car,0000000452.tiff
19,4,1690,320,1784,357,0.7986252903938293,2,car,0000000452.tiff
20,5,793,336,836,368,0.7879725694656372,2,car,0000000452.tiff
21,6,447,340,517,389,0.7405723333358765,2,car,0000000452.tiff
22,7,0,523,133,646,0.6994543671607971,5,bus,0000000452.tiff
23,9,756,311,788,339,0.563240647315979,2,car,0000000452.tiff
24,10,552,365,607,419,0.5438763499259949,2,car,0000000452.tiff
25,11,113,359,190,404,0.5146169662475586,2,car,0000000452.tiff
26,12,0,392,32,437,0.4435519874095917,2,car,0000000452.tiff
27,13,564,383,694,525,0.4065300226211548,2,car,0000000452.tiff
28,14,51,379,129,418,0.39651697874069214,2,car,0000000452.tiff
29,16,764,269,801,306,0.3610996901988983,7,truck,0000000452.tiff
30,18,969,250,992,265,0.3092552125453949,2,car,0000000452.tiff
31,19,0,523,133,644,0.2912576496601105,2,car,0000000452.tiff
32,0,0,564,327,953,0.9270389080047607,5,bus,0000000453.tiff
33,1,1346,524,1489,616,0.8950376510620117,2,car,0000000453.tiff
34,2,577,388,694,528,0.8725924491882324,5,bus,0000000453.tiff
35,3,1224,379,1303,429,0.8565334677696228,2,car,0000000453.tiff
36,4,789,337,835,370,0.802898108959198,2,car,0000000453.tiff
37,5,1689,320,1784,357,0.7966801524162292,2,car,0000000453.tiff
38,6,549,368,609,420,0.7682395577430725,2,car,0000000453.tiff
39,7,449,340,519,390,0.7210788130760193,2,car,0000000453.tiff
40,8,0,524,124,646,0.6589537858963013,5,bus,0000000453.tiff
41,10,751,313,786,341,0.5814579725265503,2,car,0000000453.tiff
42,11,0,392,33,437,0.46518775820732117,2,car,0000000453.tiff
43,12,112,360,191,403,0.4590408504009247,2,car,0000000453.tiff
44,13,557,388,694,527,0.4260231554508209,2,car,0000000453.tiff
45,14,52,379,131,419,0.38044700026512146,2,car,0000000453.tiff
46,16,763,270,800,308,0.3504985570907593,7,truck,0000000453.tiff
47,17,0,524,124,645,0.34710192680358887,2,car,0000000453.tiff
48,0,0,584,307,983,0.9233624935150146,5,bus,0000000454.tiff
49,1,1324,510,1461,596,0.8830407857894897,2,car,0000000454.tiff
50,2,577,391,697,534,0.8657544851303101,5,bus,0000000454.tiff
51,3,1218,375,1294,422,0.845924973487854,2,car,0000000454.tiff
52,4,548,369,606,421,0.8209560513496399,2,car,0000000454.tiff
53,5,790,338,834,372,0.8060591220855713,2,car,0000000454.tiff
54,6,1690,319,1785,357,0.7791029810905457,2,car,0000000454.tiff
55,7,0,526,119,646,0.732647716999054,5,bus,0000000454.tiff
56,8,449,340,524,390,0.7254384756088257,2,car,0000000454.tiff
57,9,746,313,784,343,0.6249417662620544,2,car,0000000454.tiff
58,11,112,360,191,403,0.5024963617324829,2,car,0000000454.tiff
59,12,0,391,33,437,0.42622435092926025,2,car,0000000454.tiff
60,13,52,378,131,418,0.4082370400428772,2,car,0000000454.tiff
61,15,762,271,800,309,0.31151989102363586,7,truck,0000000454.tiff
62,16,0,525,119,644,0.2881137728691101,2,car,0000000454.tiff
63,0,0,601,281,1020,0.9283602833747864,5,bus,0000000455.tiff
64,1,1308,499,1435,583,0.9013677835464478,2,car,0000000455.tiff
65,2,578,395,699,541,0.8605450391769409,5,bus,0000000455.tiff
66,3,1209,371,1286,419,0.8350644111633301,2,car,0000000455.tiff
67,4,547,369,605,422,0.830096423625946,2,car,0000000455.tiff
68,5,789,340,832,375,0.8016014695167542,2,car,0000000455.tiff
69,6,1691,320,1785,357,0.7737881541252136,2,car,0000000455.tiff
70,7,447,340,524,389,0.7235808968544006,2,car,0000000455.tiff
71,9,743,314,777,342,0.6614945530891418,2,car,0000000455.tiff
72,10,0,533,112,642,0.6330978870391846,5,bus,0000000455.tiff
73,11,113,359,191,404,0.5350296497344971,2,car,0000000455.tiff
74,12,0,392,33,437,0.4797120690345764,2,car,0000000455.tiff
75,13,51,378,130,418,0.4367869198322296,2,car,0000000455.tiff
76,14,763,271,799,309,0.3994172215461731,7,truck,0000000455.tiff
77,0,0,616,255,1049,0.9139466285705566,5,bus,0000000456.tiff
78,1,1290,486,1411,566,0.8810190558433533,2,car,0000000456.tiff
79,2,580,397,703,545,0.8490857481956482,5,bus,0000000456.tiff
80,3,545,371,605,423,0.8205236792564392,2,car,0000000456.tiff
81,4,1202,368,1276,414,0.8204650282859802,2,car,0000000456.tiff
82,5,789,341,828,378,0.7597998976707458,2,car,0000000456.tiff
83,6,1691,319,1785,357,0.7595227956771851,2,car,0000000456.tiff
84,7,0,533,107,643,0.7310321927070618,5,bus,0000000456.tiff
85,8,741,317,777,345,0.7087886333465576,2,car,0000000456.tiff
86,9,446,340,524,388,0.7043918967247009,2,car,0000000456.tiff
87,11,113,359,190,404,0.5277402997016907,2,car,0000000456.tiff
88,12,0,391,32,437,0.4691357910633087,2,car,0000000456.tiff
89,15,51,378,130,418,0.4324302673339844,2,car,0000000456.tiff
90,17,762,270,799,311,0.3193370997905731,7,truck,0000000456.tiff
91,0,0,633,226,1038,0.9020065069198608,5,bus,0000000457.tiff
