,index,xmin,ymin,xmax,ymax,confidence,class,name,frame
0,0,1,547,366,884,0.9214701056480408,5,bus,0000000451.tiff
1,1,1389,552,1555,662,0.9007130265235901,2,car,0000000451.tiff
2,2,553,378,690,517,0.8479946255683899,5,bus,0000000451.tiff
3,3,1240,385,1322,438,0.839417040348053,2,car,0000000451.tiff
4,4,795,332,835,365,0.7932694554328918,2,car,0000000451.tiff
5,5,446,340,515,392,0.7372144460678101,2,car,0000000451.tiff
6,6,1692,320,1785,357,0.5209052562713623,2,car,0000000451.tiff
7,8,766,268,801,304,0.500290036201477,2,car,0000000451.tiff
8,9,0,518,139,651,0.49352726340293884,5,bus,0000000451.tiff
9,10,760,309,798,336,0.4514673948287964,2,car,0000000451.tiff
10,11,54,361,198,415,0.4138292372226715,2,car,0000000451.tiff
11,13,118,358,196,403,0.34268563985824585,2,car,0000000451.tiff
12,14,970,249,991,265,0.3290741443634033,2,car,0000000451.tiff
13,17,1435,318,1484,349,0.2525884211063385,2,car,0000000451.tiff
14,0,1,556,348,913,0.9261078834533691,5,bus,0000000452.tiff
15,1,1369,538,1522,640,0.899003267288208,2,car,0000000452.tiff
16,2,553,382,692,521,0.8550103306770325,5,bus,0000000452.tiff
17,3,1232,380,1313,433,0.8507000803947449,2,car,0000000452.tiff
18,4,795,336,834,367,0.7550065517425537,2,car,0000000452.tiff
19,5,447,340,516,391,0.7513188719749451,2,car,0000000452.tiff
20,6,1693,321,1784,359,0.5418156385421753,2,car,0000000452.tiff
21,7,763,269,801,309,0.5413243174552917,2,car,0000000452.tiff
22,9,760,296,799,334,0.4355130195617676,2,car,0000000452.tiff
23,10,67,360,198,413,0.41592293977737427,2,car,0000000452.tiff
24,13,1435,320,1484,349,0.2648094892501831,2,car,0000000452.tiff
25,14,969,248,990,264,0.257794588804245,2,car,0000000452.tiff
26,15,1496,328,1533,360,0.2535756528377533,2,car,0000000452.tiff
27,0,1,570,327,952,0.9188619256019592,5,bus,0000000453.tiff
28,1,1346,524,1489,616,0.9000754356384277,2,car,0000000453.tiff
29,2,1225,378,1304,428,0.8523744344711304,2,car,0000000453.tiff
30,3,554,388,693,527,0.8392637372016907,5,bus,0000000453.tiff
31,4,789,337,834,371,0.7673588991165161,2,car,0000000453.tiff
32,5,445,341,518,394,0.7451571226119995,2,car,0000000453.tiff
33,6,761,271,800,308,0.6347241997718811,2,car,0000000453.tiff
34,7,1694,321,1784,358,0.5436310172080994,2,car,0000000453.tiff
35,8,62,360,199,415,0.43217065930366516,2,car,0000000453.tiff
36,9,757,311,796,340,0.37014809250831604,2,car,0000000453.tiff
37,10,0,524,121,650,0.3674317002296448,5,bus,0000000453.tiff
38,14,551,369,605,413,0.3167826235294342,2,car,0000000453.tiff
39,16,1434,319,1484,349,0.2855514883995056,2,car,0000000453.tiff
40,17,1495,329,1533,361,0.2733275890350342,2,car,0000000453.tiff
41,19,118,358,198,403,0.26440656185150146,2,car,0000000453.tiff
42,0,1,587,306,985,0.9167553782463074,5,bus,0000000454.tiff
43,1,1326,510,1462,601,0.8911824226379395,2,car,0000000454.tiff
44,2,581,393,695,534,0.8772604465484619,5,bus,0000000454.tiff
45,3,1217,376,1295,422,0.8636910319328308,2,car,0000000454.tiff
46,4,788,340,833,374,0.7865573763847351,2,car,0000000454.tiff
47,5,445,341,522,392,0.7231061458587646,2,car,0000000454.tiff
48,6,547,371,601,421,0.6917621493339539,2,car,0000000454.tiff
49,7,762,271,800,307,0.6398425102233887,2,car,0000000454.tiff
50,8,1693,320,1785,358,0.592477023601532,2,car,0000000454.tiff
51,9,743,312,782,342,0.5643101334571838,2,car,0000000454.tiff
52,10,0,528,120,646,0.4599388539791107,5,bus,0000000454.tiff
53,12,63,360,199,414,0.41128334403038025,2,car,0000000454.tiff
54,0,0,600,281,1018,0.9240541458129883,5,bus,0000000455.tiff
55,1,1308,499,1436,582,0.89339679479599,2,car,0000000455.tiff
56,2,580,397,698,539,0.878007709980011,5,bus,0000000455.tiff
57,3,1209,372,1285,418,0.8380619883537292,2,car,0000000455.tiff
58,4,788,341,830,375,0.7781422138214111,2,car,0000000455.tiff
59,5,546,371,600,420,0.7668247818946838,2,car,0000000455.tiff
60,6,445,341,520,391,0.7080752849578857,2,car,0000000455.tiff
61,7,743,314,779,341,0.6493898034095764,2,car,0000000455.tiff
62,8,763,272,799,306,0.6482943296432495,2,car,0000000455.tiff
63,9,1693,320,1785,357,0.5304880142211914,2,car,0000000455.tiff
64,11,67,359,197,414,0.41609257459640503,2,car,0000000455.tiff
65,0,1,619,259,1048,0.9130603671073914,5,bus,0000000456.tiff
66,1,1290,485,1412,568,0.889685332775116,2,car,0000000456.tiff
67,2,583,399,701,544,0.874052882194519,5,bus,0000000456.tiff
68,3,1203,370,1276,413,0.8178225755691528,2,car,0000000456.tiff
69,4,787,343,829,381,0.7909846901893616,2,car,0000000456.tiff
70,5,543,373,599,424,0.7769390940666199,2,car,0000000456.tiff
71,6,445,341,523,391,0.7084096074104309,2,car,0000000456.tiff
72,7,741,314,778,343,0.7002636194229126,2,car,0000000456.tiff
73,8,762,272,799,312,0.6460480093955994,2,car,0000000456.tiff
74,9,1693,320,1785,358,0.5407898426055908,2,car,0000000456.tiff
75,11,65,360,199,413,0.39443719387054443,2,car,0000000456.tiff
76,15,745,298,792,337,0.2712729871273041,2,car,0000000456.tiff
77,16,1435,319,1484,349,0.2545360326766968,2,car,0000000456.tiff
78,0,0,636,227,1039,0.8903716206550598,5,bus,0000000457.tiff
