,index,xmin,ymin,xmax,ymax,confidence,class,name,frame
0,0,0,543,367,890,0.857082188129425,5,bus,0000000451.tiff
1,1,1380,552,1555,662,0.8289978504180908,2,car,0000000451.tiff
2,2,447,337,513,395,0.6668142676353455,2,car,0000000451.tiff
3,3,1238,385,1327,439,0.651830792427063,2,car,0000000451.tiff
4,4,565,380,689,521,0.476939857006073,7,truck,0000000451.tiff
5,5,795,332,837,369,0.34555289149284363,2,car,0000000451.tiff
6,6,555,380,691,523,0.3418717682361603,2,car,0000000451.tiff
7,0,0,551,354,929,0.88116455078125,5,bus,0000000452.tiff
8,1,1354,537,1522,642,0.8093822598457336,2,car,0000000452.tiff
9,2,448,337,512,393,0.6436100602149963,2,car,0000000452.tiff
10,3,1225,383,1316,437,0.5491567850112915,2,car,0000000452.tiff
11,4,565,384,694,530,0.45695605874061584,7,truck,0000000452.tiff
12,5,789,333,835,371,0.3969389796257019,2,car,0000000452.tiff
13,6,567,387,700,528,0.3467825949192047,5,bus,0000000452.tiff
14,8,556,382,694,529,0.2766873836517334,2,car,0000000452.tiff
15,0,0,569,329,952,0.8751628994941711,5,bus,0000000453.tiff
16,1,1330,520,1493,621,0.8058090209960938,2,car,0000000453.tiff
17,2,447,338,514,394,0.6489973068237305,2,car,0000000453.tiff
18,3,1215,381,1306,428,0.48370978236198425,2,car,0000000453.tiff
19,4,563,385,695,530,0.4633089601993561,7,truck,0000000453.tiff
20,5,788,334,833,372,0.37266305088996887,2,car,0000000453.tiff
21,6,555,382,694,531,0.28700047731399536,2,car,0000000453.tiff
22,0,0,584,306,1000,0.8762466311454773,5,bus,0000000454.tiff
23,1,1308,512,1463,607,0.7698580026626587,2,car,0000000454.tiff
24,2,448,338,514,392,0.6281387805938721,2,car,0000000454.tiff
25,3,1210,378,1299,424,0.5948886871337891,2,car,0000000454.tiff
26,4,546,376,597,413,0.513954758644104,2,car,0000000454.tiff
27,5,786,337,831,375,0.39948639273643494,2,car,0000000454.tiff
28,6,577,398,701,538,0.3951473832130432,5,bus,0000000454.tiff
29,7,567,394,698,538,0.37185028195381165,7,truck,0000000454.tiff
30,0,3,553,291,1039,0.8329470753669739,5,bus,0000000455.tiff
31,1,1294,498,1442,586,0.6933732628822327,2,car,0000000455.tiff
32,2,448,339,515,391,0.6385353207588196,2,car,0000000455.tiff
33,3,546,375,596,415,0.5227203369140625,2,car,0000000455.tiff
34,4,572,398,698,537,0.49861228466033936,2,car,0000000455.tiff
35,5,787,338,831,376,0.446686327457428,2,car,0000000455.tiff
36,6,1210,376,1288,416,0.37393516302108765,2,car,0000000455.tiff
37,0,0,609,265,1042,0.8304386138916016,5,bus,0000000456.tiff
38,1,1278,483,1407,567,0.7169527411460876,2,car,0000000456.tiff
39,2,449,340,515,391,0.6377263069152832,2,car,0000000456.tiff
40,3,544,374,597,412,0.5563532710075378,2,car,0000000456.tiff
41,4,784,338,830,379,0.4055774211883545,2,car,0000000456.tiff
42,5,1200,371,1278,412,0.3953145444393158,2,car,0000000456.tiff
43,6,574,403,703,544,0.3882189095020294,7,truck,0000000456.tiff
44,7,570,397,700,536,0.35007601976394653,2,car,0000000456.tiff
45,0,1,630,229,1045,0.7600264549255371,5,bus,0000000457.tiff
46,1,1260,475,1391,557,0.7206515669822693,2,car,0000000457.tiff
47,2,450,340,515,390,0.5849722623825073,2,car,0000000457.tiff
48,3,540,375,596,416,0.578752338886261,2,car,0000000457.tiff
49,4,574,399,702,534,0.4534149467945099,7,truck,0000000457.tiff
50,5,1196,368,1269,410,0.44257721304893494,2,car,0000000457.tiff
51,6,784,339,829,380,0.35469958186149597,2,car,0000000457.tiff
52,7,736,312,772,342,0.25196945667266846,2,car,0000000457.tiff
53,0,1254,468,1374,547,0.7829433083534241,2,car,0000000458.tiff
54,1,1,528,195,1046,0.6286860108375549,5,bus,0000000458.tiff
55,2,538,378,598,417,0.6078588366508484,2,car,0000000458.tiff
56,3,448,340,514,390,0.5837032198905945,2,car,0000000458.tiff
57,4,1187,361,1258,405,0.5776880383491516,2,car,0000000458.tiff
58,5,572,405,707,565,0.3532453179359436,7,truck,0000000458.tiff
59,6,779,346,828,386,0.35066187381744385,2,car,0000000458.tiff
60,7,731,316,770,344,0.2670198082923889,2,car,0000000458.tiff
61,0,1233,459,1355,530,0.7349574565887451,2,car,0000000459.tiff
62,1,0,527,165,1045,0.7341914176940918,5,bus,0000000459.tiff
63,2,537,378,594,416,0.6751547455787659,2,car,0000000459.tiff
64,3,449,340,515,390,0.5560003519058228,2,car,0000000459.tiff
65,4,1184,361,1253,398,0.5029433965682983,2,car,0000000459.tiff
66,5,579,415,706,572,0.3711012601852417,7,truck,0000000459.tiff
67,0,1221,450,1338,518,0.7480139136314392,2,car,0000000460.tiff
68,1,1173,355,1248,397,0.632636308670044,2,car,0000000460.tiff
69,2,530,377,589,420,0.6231809258460999,2,car,0000000460.tiff
70,3,450,339,516,391,0.6038604974746704,2,car,0000000460.tiff
71,4,0,530,120,1039,0.5795183777809143,5,bus,0000000460.tiff
72,5,777,353,825,392,0.3635617196559906,2,car,0000000460.tiff
73,6,574,417,711,582,0.3373190462589264,7,truck,0000000460.tiff
74,7,580,419,707,580,0.2983090579509735,5,bus,0000000460.tiff
75,0,1220,441,1324,511,0.7459546327590942,2,car,0000000461.tiff
76,1,528,377,589,421,0.6307663321495056,2,car,0000000461.tiff
77,2,449,339,515,391,0.6144850254058838,2,car,0000000461.tiff
78,3,1173,353,1242,390,0.5593657493591309,2,car,0000000461.tiff
79,4,769,353,822,396,0.4940744936466217,2,car,0000000461.tiff
80,5,0,537,75,752,0.4110032021999359,2,car,0000000461.tiff
81,6,566,419,711,587,0.3950653672218323,7,truck,0000000461.tiff
82,7,567,418,710,587,0.3581415116786957,2,car,0000000461.tiff
83,0,1205,434,1307,497,0.7712547183036804,2,car,0000000462.tiff
84,1,526,376,587,428,0.6735650300979614,2,car,0000000462.tiff
85,2,449,340,515,392,0.6066989898681641,2,car,0000000462.tiff
86,3,1165,348,1236,389,0.5275899767875671,2,car,0000000462.tiff
87,4,770,356,823,399,0.49456697702407837,2,car,0000000462.tiff
88,5,567,425,711,598,0.40267401933670044,7,truck,0000000462.tiff
89,6,0,538,70,767,0.3309725821018219,2,car,0000000462.tiff
90,7,569,420,717,603,0.2811064124107361,2,car,0000000462.tiff
91,0,1200,427,1290,490,0.7470085620880127,2,car,0000000463.tiff
92,1,524,377,586,431,0.6690534949302673,2,car,0000000463.tiff
93,2,448,339,515,392,0.5894576907157898,2,car,0000000463.tiff
94,3,0,550,60,766,0.5606458187103271,2,car,0000000463.tiff
95,4,759,356,818,403,0.5145347714424133,2,car,0000000463.tiff
96,5,569,428,715,601,0.4768456518650055,2,car,0000000463.tiff
97,6,1158,346,1227,385,0.4225453734397888,2,car,0000000463.tiff
98,7,569,432,719,608,0.29603397846221924,7,truck,0000000463.tiff
99,8,710,321,752,358,0.2619383931159973,2,car,0000000463.tiff
100,0,522,379,580,432,0.6841468811035156,2,car,0000000464.tiff
101,1,1186,423,1280,479,0.6806588172912598,2,car,0000000464.tiff
102,2,448,339,515,393,0.6290386915206909,2,car,0000000464.tiff
103,4,759,362,815,406,0.45297330617904663,2,car,0000000464.tiff
104,5,562,430,715,618,0.4488988518714905,7,truck,0000000464.tiff
105,6,0,564,51,768,0.4434792697429657,2,car,0000000464.tiff
106,7,1153,344,1219,383,0.34539595246315,2,car,0000000464.tiff
107,8,707,325,750,360,0.2745239734649658,2,car,0000000464.tiff
108,9,756,281,801,320,0.2743479907512665,2,car,0000000464.tiff
109,0,1174,410,1269,472,0.6319701075553894,2,car,0000000465.tiff
110,1,448,338,513,394,0.6251310110092163,2,car,0000000465.tiff
111,2,519,378,579,434,0.6223218441009521,2,car,0000000465.tiff
112,4,556,436,714,631,0.48181474208831787,7,truck,0000000465.tiff
113,5,755,369,816,411,0.47355931997299194,2,car,0000000465.tiff
114,6,1152,342,1210,376,0.4490714967250824,2,car,0000000465.tiff
115,7,561,433,715,634,0.38493895530700684,5,bus,0000000465.tiff
116,8,704,326,747,358,0.32660192251205444,2,car,0000000465.tiff
117,9,756,282,800,321,0.2652911841869354,2,car,0000000465.tiff
118,0,1268,1089,1720,1507,0.652768611907959,2,car,0000000466.tiff
119,1,1171,409,1254,466,0.6473243832588196,2,car,0000000466.tiff
120,2,552,439,711,643,0.6384914517402649,5,bus,0000000466.tiff
121,3,448,338,514,394,0.6316577792167664,2,car,0000000466.tiff
122,4,517,374,574,433,0.6024555563926697,2,car,0000000466.tiff
123,5,752,372,814,415,0.4615806043148041,2,car,0000000466.tiff
124,6,1153,343,1207,374,0.37115946412086487,2,car,0000000466.tiff
125,7,703,328,745,360,0.2793770134449005,2,car,0000000466.tiff
