,index,xmin,ymin,xmax,ymax,confidence,class,name,frame
0,0,1,540,362,890,0.8614802956581116,5,bus,0000000451.tiff
1,1,1385,549,1556,660,0.82534259557724,2,car,0000000451.tiff
2,2,561,378,690,516,0.7950364947319031,5,bus,0000000451.tiff
3,3,1242,387,1322,439,0.7821372747421265,2,car,0000000451.tiff
4,4,794,333,836,369,0.7110720872879028,2,car,0000000451.tiff
5,5,449,343,514,390,0.6501775979995728,2,car,0000000451.tiff
6,8,760,297,798,334,0.2584822177886963,2,car,0000000451.tiff
7,0,1368,540,1520,641,0.8336924910545349,2,car,0000000452.tiff
8,1,1233,381,1313,433,0.7814221382141113,2,car,0000000452.tiff
9,2,792,336,836,370,0.72773277759552,2,car,0000000452.tiff
10,3,568,385,692,523,0.7252022624015808,5,bus,0000000452.tiff
11,4,447,341,514,390,0.6435064673423767,2,car,0000000452.tiff
12,5,0,556,349,921,0.6013817191123962,7,truck,0000000452.tiff
13,0,1342,525,1488,618,0.8424580097198486,2,car,0000000453.tiff
14,1,1222,381,1303,430,0.8075863718986511,2,car,0000000453.tiff
15,2,570,389,696,528,0.777978241443634,5,bus,0000000453.tiff
16,3,791,336,834,372,0.7008317112922668,2,car,0000000453.tiff
17,4,449,343,516,391,0.680016815662384,2,car,0000000453.tiff
18,5,4,559,334,956,0.5938745141029358,5,bus,0000000453.tiff
19,6,3,554,340,953,0.4547622501850128,7,truck,0000000453.tiff
20,0,578,395,696,532,0.845607340335846,5,bus,0000000454.tiff
21,1,1,575,307,991,0.7943019866943359,5,bus,0000000454.tiff
22,2,1320,512,1459,600,0.7747953534126282,2,car,0000000454.tiff
23,3,1219,378,1293,423,0.7722074389457703,2,car,0000000454.tiff
24,4,790,338,834,373,0.7480255961418152,2,car,0000000454.tiff
25,5,450,342,520,391,0.6883938908576965,2,car,0000000454.tiff
26,6,547,373,594,419,0.46272552013397217,2,car,0000000454.tiff
27,8,762,272,799,312,0.2686070203781128,2,car,0000000454.tiff
28,10,743,315,777,342,0.25396859645843506,2,car,0000000454.tiff
29,0,0,596,283,1027,0.8826733231544495,5,bus,0000000455.tiff
30,1,579,396,696,540,0.8159945011138916,5,bus,0000000455.tiff
31,2,1307,499,1435,584,0.8069379925727844,2,car,0000000455.tiff
32,3,1210,373,1282,419,0.8009920120239258,2,car,0000000455.tiff
33,4,786,339,831,378,0.7352370023727417,2,car,0000000455.tiff
34,5,450,341,521,389,0.682587206363678,2,car,0000000455.tiff
35,6,544,372,596,422,0.45887425541877747,2,car,0000000455.tiff
36,7,740,313,777,342,0.42500895261764526,2,car,0000000455.tiff
37,8,763,272,798,310,0.3170885741710663,2,car,0000000455.tiff
38,0,579,399,700,545,0.8440094590187073,5,bus,0000000456.tiff
39,1,1207,369,1276,415,0.805759847164154,2,car,0000000456.tiff
40,2,1284,488,1412,568,0.7684159874916077,2,car,0000000456.tiff
41,3,787,337,829,379,0.7148215770721436,2,car,0000000456.tiff
42,4,453,342,521,388,0.6452011466026306,2,car,0000000456.tiff
43,5,3,608,253,1051,0.5882216691970825,5,bus,0000000456.tiff
44,6,1,616,255,1056,0.48059752583503723,7,truck,0000000456.tiff
45,7,740,316,777,344,0.4664381146430969,2,car,0000000456.tiff
46,8,545,374,595,422,0.45225048065185547,2,car,0000000456.tiff
47,11,763,273,798,313,0.260688453912735,2,car,0000000456.tiff
48,0,581,400,707,553,0.8498498797416687,5,bus,0000000457.tiff
49,1,1,627,234,1046,0.8275316953659058,5,bus,0000000457.tiff
50,2,1272,475,1390,555,0.7902044653892517,2,car,0000000457.tiff
51,3,1202,362,1266,408,0.776734471321106,2,car,0000000457.tiff
52,4,784,338,829,382,0.6981563568115234,2,car,0000000457.tiff
53,5,453,343,522,388,0.6079846620559692,2,car,0000000457.tiff
54,6,738,315,773,344,0.4609818756580353,2,car,0000000457.tiff
55,7,544,376,594,423,0.4355730712413788,2,car,0000000457.tiff
56,11,764,271,798,313,0.31231388449668884,2,car,0000000457.tiff
57,0,1257,467,1371,541,0.8763760924339294,2,car,0000000458.tiff
