,index,xmin,ymin,xmax,ymax,confidence,class,name,frame
0,0,0,546,365,890,0.9197705984115601,5,bus,0000000451.tiff
1,1,1387,552,1555,658,0.9095377922058105,2,car,0000000451.tiff
2,2,570,381,691,516,0.8757985234260559,5,bus,0000000451.tiff
3,3,1241,386,1322,438,0.8652586340904236,2,car,0000000451.tiff
4,4,792,332,836,365,0.8159173727035522,2,car,0000000451.tiff
5,5,1692,321,1783,357,0.8031578063964844,2,car,0000000451.tiff
6,6,428,337,516,391,0.7889863848686218,2,car,0000000451.tiff
7,7,0,518,142,650,0.681659460067749,5,bus,0000000451.tiff
8,8,758,310,792,337,0.6775867938995361,2,car,0000000451.tiff
9,9,554,364,602,416,0.6637204885482788,2,car,0000000451.tiff
10,10,112,360,190,401,0.5949753522872925,2,car,0000000451.tiff
11,14,52,380,127,416,0.4183654189109802,2,car,0000000451.tiff
12,16,764,268,802,308,0.32920214533805847,7,truck,0000000451.tiff
13,17,764,267,803,307,0.32489320635795593,2,car,0000000451.tiff
14,19,0,388,30,438,0.2919500768184662,2,car,0000000451.tiff
15,20,450,297,504,329,0.266958624124527,2,car,0000000451.tiff
16,0,0,557,348,919,0.9323182106018066,5,bus,0000000452.tiff
17,1,1364,538,1521,637,0.9142383337020874,2,car,0000000452.tiff
18,2,576,384,694,522,0.886081337928772,5,bus,0000000452.tiff
19,3,1234,380,1313,433,0.8808209896087646,2,car,0000000452.tiff
20,4,1690,321,1784,359,0.810470461845398,2,car,0000000452.tiff
21,5,790,336,836,368,0.7981455326080322,2,car,0000000452.tiff
22,6,439,337,517,391,0.7662010192871094,2,car,0000000452.tiff
23,7,552,366,606,417,0.741142213344574,2,car,0000000452.tiff
24,8,755,310,793,339,0.6926147937774658,2,car,0000000452.tiff
25,11,113,360,191,402,0.5735296010971069,2,car,0000000452.tiff
26,13,52,380,130,416,0.4250352382659912,2,car,0000000452.tiff
27,16,1,521,132,647,0.361589252948761,5,bus,0000000452.tiff
28,17,764,269,801,310,0.3380725383758545,7,truck,0000000452.tiff
29,18,0,387,30,437,0.31084004044532776,2,car,0000000452.tiff
30,19,764,268,802,309,0.2948870360851288,2,car,0000000452.tiff
31,21,1492,325,1539,364,0.2514400780200958,2,car,0000000452.tiff
32,0,0,571,327,954,0.9323728084564209,5,bus,0000000453.tiff
33,1,1345,523,1490,615,0.9140067100524902,2,car,0000000453.tiff
34,2,1227,378,1303,427,0.8991221785545349,2,car,0000000453.tiff
35,3,577,390,695,527,0.8910772800445557,5,bus,0000000453.tiff
36,4,550,368,606,419,0.8208677172660828,2,car,0000000453.tiff
37,5,1690,321,1783,358,0.8136051297187805,2,car,0000000453.tiff
38,6,789,337,834,370,0.813094437122345,2,car,0000000453.tiff
39,7,433,338,518,391,0.7956058382987976,2,car,0000000453.tiff
40,8,0,520,126,646,0.7590696811676025,5,bus,0000000453.tiff
41,9,752,314,791,341,0.717779815196991,2,car,0000000453.tiff
42,13,111,361,190,401,0.4993555247783661,2,car,0000000453.tiff
43,15,761,269,801,309,0.4073714017868042,2,car,0000000453.tiff
44,16,52,380,124,415,0.33271291851997375,2,car,0000000453.tiff
45,18,561,378,691,515,0.2760857045650482,2,car,0000000453.tiff
46,0,1,585,306,986,0.9323555827140808,5,bus,0000000454.tiff
47,1,1324,509,1463,599,0.9009207487106323,2,car,0000000454.tiff
48,2,577,392,697,533,0.8977925777435303,5,bus,0000000454.tiff
49,3,1220,375,1294,423,0.8920744061470032,2,car,0000000454.tiff
50,4,548,369,606,421,0.8466272950172424,2,car,0000000454.tiff
51,5,789,338,832,372,0.8259546756744385,2,car,0000000454.tiff
52,6,1690,321,1784,358,0.8083731532096863,2,car,0000000454.tiff
53,7,437,338,523,391,0.7739422917366028,2,car,0000000454.tiff
54,8,0,525,120,645,0.71040940284729,5,bus,0000000454.tiff
55,9,747,314,783,342,0.7033035755157471,2,car,0000000454.tiff
56,13,113,360,191,402,0.46056973934173584,2,car,0000000454.tiff
57,15,761,270,800,310,0.36436939239501953,2,car,0000000454.tiff
58,16,52,380,126,415,0.34370487928390503,2,car,0000000454.tiff
59,17,762,270,800,310,0.33736708760261536,7,truck,0000000454.tiff
60,18,1494,326,1539,362,0.2571558952331543,2,car,0000000454.tiff
61,0,0,598,282,1021,0.9264249205589294,5,bus,0000000455.tiff
62,1,1307,497,1436,583,0.8997563123703003,2,car,0000000455.tiff
63,2,577,395,699,537,0.8870543241500854,5,bus,0000000455.tiff
64,3,1212,371,1285,419,0.8637477159500122,2,car,0000000455.tiff
65,4,547,370,603,421,0.8453062772750854,2,car,0000000455.tiff
66,5,787,341,831,375,0.8235472440719604,2,car,0000000455.tiff
67,6,1691,321,1784,357,0.8031299114227295,2,car,0000000455.tiff
68,7,440,338,521,390,0.7300907969474792,2,car,0000000455.tiff
69,8,743,317,779,342,0.7170298099517822,2,car,0000000455.tiff
70,11,113,360,191,402,0.5475521683692932,2,car,0000000455.tiff
71,14,0,532,113,641,0.45144304633140564,5,bus,0000000455.tiff
72,15,52,380,131,416,0.3885214328765869,2,car,0000000455.tiff
73,16,763,271,799,310,0.3869144916534424,7,truck,0000000455.tiff
74,17,762,270,799,309,0.286895751953125,2,car,0000000455.tiff
75,18,0,387,30,438,0.2843939960002899,2,car,0000000455.tiff
76,0,0,617,255,1050,0.9273642897605896,5,bus,0000000456.tiff
77,1,1290,486,1413,565,0.8928794264793396,2,car,0000000456.tiff
78,2,578,398,704,543,0.8778631091117859,5,bus,0000000456.tiff
79,3,1202,366,1276,413,0.865327000617981,2,car,0000000456.tiff
80,4,545,372,603,421,0.8480454683303833,2,car,0000000456.tiff
81,5,784,342,828,379,0.808914840221405,2,car,0000000456.tiff
82,6,1691,321,1784,357,0.7961263656616211,2,car,0000000456.tiff
83,7,740,317,777,344,0.7292790412902832,2,car,0000000456.tiff
84,8,440,338,519,390,0.7201833128929138,2,car,0000000456.tiff
85,11,114,360,191,402,0.5343696475028992,2,car,0000000456.tiff
86,14,0,532,108,644,0.49095502495765686,5,bus,0000000456.tiff
87,15,52,379,134,416,0.3834296464920044,2,car,0000000456.tiff
88,16,763,271,799,311,0.3752499520778656,7,truck,0000000456.tiff
89,17,0,387,30,438,0.3048495948314667,2,car,0000000456.tiff
90,0,0,635,227,1041,0.916476845741272,5,bus,0000000457.tiff
91,1,580,400,711,545,0.8841699361801147,5,bus,0000000457.tiff
92,2,1275,477,1389,553,0.8825827836990356,2,car,0000000457.tiff
93,3,542,371,602,423,0.8693512678146362,2,car,0000000457.tiff
94,4,1196,364,1268,407,0.8483548760414124,2,car,0000000457.tiff
95,5,779,345,828,382,0.8121324181556702,2,car,0000000457.tiff
96,6,1691,321,1784,357,0.7964702844619751,2,car,0000000457.tiff
97,7,736,319,774,345,0.7270592451095581,2,car,0000000457.tiff
98,8,438,339,518,390,0.7050790190696716,2,car,0000000457.tiff
99,12,113,360,191,402,0.5505518317222595,2,car,0000000457.tiff
100,14,52,380,132,416,0.36299756169319153,2,car,0000000457.tiff
101,15,762,271,798,312,0.3618432283401489,5,bus,0000000457.tiff
102,16,762,271,799,312,0.3192931115627289,7,truck,0000000457.tiff
103,17,0,387,30,438,0.2924581468105316,2,car,0000000457.tiff
104,0,1261,467,1371,538,0.8951478004455566,2,car,0000000458.tiff
105,1,578,404,707,556,0.8826403617858887,5,bus,0000000458.tiff
106,2,539,376,602,423,0.8774477243423462,2,car,0000000458.tiff
107,3,775,346,825,385,0.8302971124649048,2,car,0000000458.tiff
108,4,0,648,194,1038,0.8172340989112854,5,bus,0000000458.tiff
109,5,1189,360,1260,404,0.8103880286216736,2,car,0000000458.tiff
110,6,1689,321,1785,357,0.800909698009491,2,car,0000000458.tiff
111,7,733,320,772,347,0.737514853477478,2,car,0000000458.tiff
112,8,438,338,518,390,0.7121911644935608,2,car,0000000458.tiff
113,11,114,361,191,402,0.5500407218933105,2,car,0000000458.tiff
114,14,761,271,798,311,0.4195401668548584,5,bus,0000000458.tiff
115,15,0,533,98,664,0.41217121481895447,5,bus,0000000458.tiff
116,16,53,380,135,416,0.3542466163635254,2,car,0000000458.tiff
117,17,0,533,97,664,0.32905423641204834,7,truck,0000000458.tiff
118,18,0,388,97,438,0.27092254161834717,2,car,0000000458.tiff
119,0,0,533,157,1036,0.908810019493103,5,bus,0000000459.tiff
120,1,1247,458,1352,530,0.8919320106506348,2,car,0000000459.tiff
121,2,538,376,600,426,0.8767860531806946,2,car,0000000459.tiff
122,3,575,406,711,566,0.8714120388031006,5,bus,0000000459.tiff
123,4,770,350,825,388,0.8471325635910034,2,car,0000000459.tiff
124,5,1185,357,1252,400,0.8368204236030579,2,car,0000000459.tiff
125,6,1688,321,1785,358,0.8012430667877197,2,car,0000000459.tiff
126,7,730,322,770,349,0.7314409017562866,2,car,0000000459.tiff
127,8,439,338,517,390,0.6935175657272339,2,car,0000000459.tiff
128,13,114,361,191,402,0.47541794180870056,2,car,0000000459.tiff
129,14,490,344,545,378,0.3509120047092438,2,car,0000000459.tiff
130,15,760,271,797,314,0.30472487211227417,5,bus,0000000459.tiff
131,17,760,271,798,314,0.2887951731681824,7,truck,0000000459.tiff
132,18,53,379,131,415,0.28545138239860535,2,car,0000000459.tiff
133,0,1234,448,1335,516,0.9030691385269165,2,car,0000000460.tiff
134,1,578,410,713,574,0.8945583701133728,5,bus,0000000460.tiff
135,2,0,534,117,1052,0.8679184913635254,5,bus,0000000460.tiff
